Rank,KOL,Point
1,WuBlockchain,0.025128497940747837
2,blockchain,0.025015043589440764
3,mstor168,0.024901589238133664
4,Cardano,0.024674680535519404
5,TheCoffeeBlock,0.024447771832905155
6,ArtOnBlockchain,0.0241074087789838
7,SolanaStatus,0.023540137022448206
8,LeaksBlockchain,0.023313228319833967
9,StarcoinSTC,0.02308631961721973
10,partisiampc,0.02308631961721973
11,blockchainrptr,0.02297286526591261
12,SwftCoin,0.02297286526591261
13,BlockChain_CK,0.022859410914605492
14,Chiliz,0.02274595656329837
15,aba_summit,0.022405593509376986
16,Blockchain_Ep,0.021044141293691088
17,oasys_games,0.021044141293691088
18,RenecBlockchain,0.02070377823976904
19,CTXCBlockchain,0.020476869537154455
20,Neo_Blockchain,0.020249960834540184
21,ice_blockchain,0.020249960834540184
22,BlockchainBoyy,0.019455780375390044
23,solana,0.019001962970160952
24,AskBlockchain,0.018434691213625013
25,BCBacker,0.018434691213625013
26,blockchainspc,0.018321236862317878
27,ton_blockchain,0.01820778251101075
28,flow_blockchain,0.01718669334923806
29,QBlockchain,0.01718669334923806
30,blockchaincap,0.01639251289008093
31,Dot_Blockchain,0.015938695484849708
32,TienCypress,0.015938695484849708
33,Mint_Blockchain,0.014917606323085112
34,NEAR_Blockchain,0.014350334566550316
35,Sanemavcil,0.014236880215243355
36,birdoncrypto,0.009017980055260534
