Rank,KOL,Point
1,defipulse,0.02594598263186021
2,defi_airdrops,0.02594598263186021
3,thedefiedge,0.02594598263186021
4,DefiIgnas,0.02559459776207665
5,DefiLlama,0.02512608460236523
6,SovrynBTC,0.024540443152725733
7,AL_theDeFiMaxi,0.024540443152725733
8,DeFiDownsin,0.023603416833302266
9,defiprincess_,0.02325203196351853
10,DeFi,0.023017775383662852
11,Hercules_Defi,0.022315005644095828
12,DeFiOracle_,0.022197877354167943
13,Dynamo_Patrick,0.022197877354167943
14,DeFiMinty,0.022080749064240058
15,KrystalDeFi,0.0217293641944564
16,VeraNFTs,0.021495107614572316
17,OpenOceanGlobal,0.021495107614572316
18,RiddlerDeFi,0.02126085103468301
19,DeFi_Land,0.02126085103468301
20,AirdropComet,0.020792337874891594
21,TheDeFiGuru_,0.02055808129500093
22,AmuletProtocol,0.020440953005053355
23,ViktorDefi,0.020440953005053355
24,TheDeFISaint,0.019621054975419498
25,TheDeFinvestor,0.019269670105578028
26,SuzzyDefi,0.019269670105578028
27,DeFi_Dad,0.019152541815630468
28,Defiqueen01,0.01762987404654311
29,temsdefi,0.017395617466699924
30,JGNDeFi,0.015638693117886748
31,StarkDefi,0.014116025348856566
32,DeFiKingdoms,0.01317899902945271
33,Macky_DeFi,0.012124844420123538
34,ChadsDefi,0.009548022041867606
35,DefiSquared,0.008376739142603309
36,ALEXLabBTC,0.008142482562744763
