Rank,KOL,Point
1,web3isgreat,0.019535819557104803
2,Web3WithBinance,0.0194472225172584
3,bitgetglobal,0.018827043238329358
4,BitgetWallet,0.018649849158636458
5,realScamSniffer,0.01856125211878941
6,Web_3space,0.01811826691966773
7,Dexsport_io,0.018029669879852724
8,CryptoJobsList,0.018029669879852724
9,web3Balod,0.017852475800223713
10,Chain_GPT,0.017852475800223713
11,W3Vibes,0.01776387876040886
12,AirdropAchiever,0.01776387876040886
13,DIAdata_org,0.01776387876040886
14,INFLUENCERandre,0.017586684680779854
15,hellopixelapp,0.01732089356133262
16,HuntersofWeb3,0.01705510244188529
17,okto_web3,0.016966505402069947
18,uquidcard,0.016966505402069947
19,Bybit_Web3,0.01687790836225402
20,ChainGPT_Pad,0.016789311322438275
21,xyro_io,0.016257729083545384
22,Ebubechi_GMI,0.016257729083545384
23,IkoWEB3,0.016169132043729783
24,SlashWeb3,0.015991937964098632
25,WeSendit,0.015991937964098632
26,din_lol_,0.0157261468446527
27,EMCprotocol,0.015637549804837753
28,WOLF_WebThree,0.015371758685394735
29,web3globalmedia,0.015105967565951653
30,ONTOWallet,0.013777011968735913
31,RunOnFlux,0.013422623809478451
32,Web3foundation,0.013156832690035349
33,Myria,0.013156832690035349
34,0xiceberg_com,0.012182265252077327
35,PocketRocket_io,0.011916474132634245
36,taskonxyz,0.011473488933562422
37,web3games,0.011030503734490603
38,TheW3Space,0.010941906694678505
39,Eragon_gg,0.01005593629664114
40,Hi_PoPPOfficial,0.009701548137436448
41,CryptoXMessi,0.009435757018035335
42,xircusweb3,0.008992771818995354
43,ForbesWeb3,0.008815577739362186
44,fansland_io,0.008372592540291973
45,XO_app,0.008195398460665446
46,ChainGPT_Labs,0.00810680142085055
47,loopfans,0.008018204381036143
48,TheGariNetwork,0.007398025102326194
49,CohortX_ai,0.006955039903240881
50,Web3Capital,0.006512054704155509
